번호,제목,글쓴이,작성일,조회,추천,링크,본문,갤러리,날짜,닉네임,IP,상세날짜,댓글
15090324,조후깨진사주 보고가라,ㅇㅇ(223.39),2020-11-06,179.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=15090324&search_pos=-15055549&s_type=search_subject_memo&s_keyword=사주&page=31,"정신적으로 매우힘듬
인비로 신강한 인성용신",,,,,,
10956402,우리아빠 성격 개세거든 사주 돌려봤더니,ㅇㅇ(223.38),2019-06-27,367.0,7.0,https://gall.dcinside.com/board/view/?id=divination&no=10956402&search_pos=-10925549&s_type=search_subject_memo&s_keyword=사주&page=13,"대박이지? 삼주 간여지동 본적있냐?
시는  몰러
아빠를 미워했는데 이해하려고",,,,,,
11743737,휴ㅅ휴야 서빙하면서 사주도봐준다고 어필하지그랫어,쫄보냥냥,2019-09-23,45.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=11743737&search_pos=-11705549&s_type=search_subject_memo&s_keyword=사주&page=1,"역갤 네임드라고
글엄 바로합격인데
- dc official App",,,,,,
5982665,그거아냐 운을 심하게 타면 꾸준히 하는일을 못함,역갤러(123.254),2024-03-10,187.0,9.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5982665&search_pos=-5952492&s_type=search_subject_memo&s_keyword=타로&page=1,"직장 오래다니기 시험 오래 준비하기 한 직업에만 종사하기 이런거 잘 못함
운이 따라줄 때만 일을 하는 편인데 남들에 비해 쏟은 시간 자체가 절대적으로 차이나서
성과가 안나오더라
단타로 치고 빠지는 일이 잘 맞음
일을 해도 계약직이나 프로젝트 식으로 해야 성과가 좋고
가만히 직장다니는걸 유난히 잘 못버티고 힘들어함
근데 지금 꾸준히 해야되는 일이 있어서 미칠노릇임 옘병옘병!~! 어떻게 하냐고~~",,,,,,
11403009,궁합이 별로여도 잘 살 수 있어,ㅇㅇ(211.219),2019-08-17,144.0,1.0,https://gall.dcinside.com/board/view/?id=divination&no=11403009&search_pos=-11365549&s_type=search_subject_memo&s_keyword=궁합&page=1,"역갤은 눈팅만 했는데 오늘은 급 생각이 난거 써보려고.
울 언니랑 형부는 궁합이 썩 좋지는 않아
언니는 결혼하기전에 궁합 보러다니면 좋다는 소리 못 들어도 보러갔어
좋은 소리도 못 듣는데 왜 보러가냐고 내가 물은적 있었지
언니는 그냥 궁금했다는 말뿐
궁합이 안좋다는 소리 들어서 덜 사랑하지는 않는다고 하더라
그렇게 오래 사귀고 결혼해서 잘 살아
두분 다 성실하고 책임감 강한 부분도 있어
그대신 서로 귀찮게 안하고 싫다고 한 부분은 안건들여
워낙 둘 다 강해서 굳이 싫다는거 어차피 말해도 안하는 거 싸움밖에 더 하냐고 하면서 독립적으로 각자 놀아
궁합보다는 사람 됨됨이가 괜찮아야 한다고 봄",,,,,,
4919579,계수 재벌남에게 시집간 김민형 아나운서,ㅇㅇ(223.39),2023-09-19,9685.0,64.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4919579&search_pos=-4900386&s_type=search_subject_memo&s_keyword=사주&page=27,"신금일간 식상다녀
심지어 남편이랑 김민형이랑 사주 구성도 비슷함",,,,,,
4334349,이런 사주의 남자와 결혼하면 안좋다고 배움,ㅇㅇ(118.235),2023-06-07,552.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4334349&search_pos=-4310386&s_type=search_subject_memo&s_keyword=사주&page=1,"ㄴ3년전 우한폐렴 팬데믹 초창기시절
ㄴ현재​
1.무식상남
2.인다남
3.비겁다남(특히 쟁재)
이 3가지 유형만 걸러도 최악은 거를수있다
난 남자인데 여동생한테 이 3가지는 거르라고
십성 보는법 가르쳐줌
정신이 불안한 여자들은 식신생재(식신+정재)남 만나길바라
식신+정재만 잘 되어있어도 천성적으로 사랑꾼,성실한데 얼마나 좋아
그리고 같은 식상이어도 상관남은 사랑표현 잘하는데 기복이 심해서 여자들 입장에선 상처받을 순간이 많고 정신병 더 심해질 수 있어
그럼 결혼할 남자로 좋은 사주는 뭘까?
식신생재에 천간에 재,관있는 사람이 현실감각,책임감
좋아서 여자들 입장에서 남편감으로 결혼생활하기 좋다고 배웠어
반대로 남자입장에서는 지지에 재생관이 되어있는 여자가  좋다고 배웠어 이러면 남자를 내조해주고 존중할 수 있는 여자야
남자입장에서 여자 무식상,인다는 걸러야될만큼 안좋은거 아니야 비겁이 너무 강하다거나 무재면 거르는게 좋지
위에 3개처럼 심각한건 아니지만
성별을 떠나서 무재도 가급적 피하는게 좋아
재성이 있어야 눈치,센스가 있고 결혼생활할때
안맞는 부분이 있어도 맞춰나갈 수 있거든
짚신도 짝이 있다고 자기한테 맞는 사람이 다 있겠지만
연애는 몰라도 결혼할거면 1,2,3은 가급적 피하는게 좋을거같아
본인이 결혼생활에 안맞는사주면 굳이 같이살아서 고통받지말고  혼자사는게 더 좋다고 생각해
지금 20대들은 결혼안할 사람이 더 많을거라
사회적으로도 결혼은 선택사항일거니 걱정ㄴㄴ
이제는 결혼안한다고 안좋게 보는 문화도 거의 사라질거야
​사주마다 각자의 장단점이 있고
단점을 보완하고 장점을 살리면 행복하게 살수있다고 생각함​
이런거 적을거면
내 사주명식은 까고 말하는게 예의지
난 상관격이고 재성약하고 편인이 강해서 나도 여자들 입장에서 결혼하기엔 별로인 사주야
재관이 강할수록 결혼용사주
결혼하면 더 안정적이게 살 수 있는 사주고
식상,인성이 강할수록 연애용사주
대화가 잘통하고 재밌지만 책임감,현실감각이 떨어지는 사주
비겁이 강하면 그냥 혼자 사는게 맘편하다",,,,,,
10813992,근데 사주 너무 신기하다,ㅇㅇ(61.96),2019-06-06,61.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=10813992&search_pos=-10785549&s_type=search_subject_memo&s_keyword=사주&page=19,ㅇㅅㅇ....,,,,,,
14918138,얘들아 존나 궁금한데 종왕격은 비겁다라고 안봐?,ㅇㅇ(39.7),2020-10-14,406.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=14918138&search_pos=-14875549&s_type=search_subject_memo&s_keyword=사주&page=4,"비겁이랑 인성만 있는 사주
인비다 특성 안나옴?",,,,,,
4042585,속궁합이 좋으면 진짜 생각만해도 쌀거같음,ㅇㅇ(118.235),2023-04-21,415.0,2.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4042585&search_pos=-4029934&s_type=search_subject_memo&s_keyword=궁합&page=2,ㅇㅇ,,,,,,
9687078,서양의 철학에서 말하는 죄악 알려준다,ㅇㅇ(112.185),2019-01-02,87.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=9687078&search_pos=-9655549&s_type=search_subject_memo&s_keyword=사주&page=11,"교만이 가장 높은 죄이고
예언하는 행위 또한 교만에 해당함
즉, 사주 학문 또한 파고들면 파고들수록
삶이 피폐해지는 건 말할 것도 없겠지
교만이란 모든 허영을 의미한다
- dc official App",,,,,,
2794092,역술가들 상관격 개많다니까?,ㅇㅇ(175.213),2022-10-07,133.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2794092&search_pos=-2780386&s_type=search_subject_memo&s_keyword=사주&page=4,말 험하게 하는거 ㅋㅋ 무튼 사주볼때도 좀 차분하게 긍정적인 방향으로 봐주면 되는데 꼭 안좋은 단어로 선택해서 험하게 말하고 약간 서인영 말투 재질ㅋㅋㅋ 그러니까 그런데서 사주나 보겠지 일반 회사에서 성깔죽이고 다닐수 있겠냐고 ㅋㅋ,,,,,,
11285162,역갤에  짝남 사주올려도 그남자와는 아닌고야,ㅇㅇ(220.70),2019-08-04,20.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=11285162&search_pos=-11255549&s_type=search_subject_memo&s_keyword=사주&page=15,그런거?ㅋㅋ,,,,,,
736758,사주봐줘,ㅇㅇ(175.201),2021-12-13,59.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=736758&search_pos=-740386&s_type=search_subject_memo&s_keyword=사주&page=14,"중말용신이양?
- dc official App",,,,,,
16267925,김1정현은 절대 식생재 아님 하는짓거리 보면,ㅇㅇ(221.142),2021-04-14,381.0,10.0,https://gall.dcinside.com/board/view/?id=divination&no=16267925&search_pos=-16225549&s_type=search_subject_memo&s_keyword=궁합&page=2,"이번 입장문도 ㅅㅇㅈ한테 사과 한마디 없는거봐라
애초에 노리고 카톡 제출한거임
경진월이면 무재던데 백퍼 이사주ㅇㅇ
글고 무재 수목용신이어야 ㅅ ㅓ지혜 랑 궁합 잘맞아
여자가 수목다자라서",,,,,,
42760,자살한 아이언 사주..편관들 소름끼쳐,거모,2021-09-09,590.0,9.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=42760&search_pos=-50386&s_type=search_subject_memo&s_keyword=사주&page=15,,,,,,,
7516878,선운 사주 강의: 부모복이란,ㅇㅇ(211.36),2024-10-20,550.0,5.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=7516878&search_pos=-7480386&s_type=search_subject_memo&s_keyword=사주&page=18,"부모는 인성이다. 인성은 편인과 정인이 있다.
정인은 일간을 생하니 생모라 하고 편인은 비겁을 생하니 계모라 한다.
정인만 있으면 일간인 자신을 생하는 것이 당연하니 부모에게 당당히 권리를 요구한다. 사소한 부모의 잘못도 그냥 넘어가지 않으며 다른 형제들보다 자신이 차별대우 받는 것에 대해 대단히 민감하다.
분명히 본인이 다른 형제에 비해 많은 것을 받았음에도 불구하고 본인은 그러한 것을 알지 못한다. 항상 내가 덜 받은 것 같고 내가 보지 않는 사이에 다른 형제에게 더 많은 것이 주어졌으리라 생각한다.
그래서 정인은 재산을 십억을 받든 백억을 받든 부모복이 없다고 생각한다. 실제로는 많이 받았지만 본인은 그것을 인지하지 못하니 부모복이 있다고 해야할지 없다고 해야할지 알 수 없다.
편인만 있으면 비겁을 생하는 것이 당연하니 자신에게 무엇이 돌아오든 관심이 없다. 오히려 부모의 뜻을 헤아리려 하고 이해하려 한다. 자신에게 많은 것이 돌아오면 오히려 그러한 것을 부담스러워 하고 미안해 한다.
그래서 편인은 조금만 받아도 고마워 한다. 비록 부모가 자신에게 해준 것이 없다고 하더라도 부모를 원망하거나 타박하지는 않는다. 비록 받은 것이 없는 것이 편인이지만 정작 본인은 나름 부모복이 있다 생각하니 이를 두고 부모복이 있다고 할 것인지 없다고 할 것인지 알 수 없다.
무인성은 받을 생각 조차 없고 베풀 생각 조차 없는 것이다. 부모복이라는 개념 자체가 없다. 그저 빼앗기고 살면 그만이니 있으면 있는데로 없으면 없는데로 그냥 내 것을 다 내어주고 사는 자다. 부모복이란 개념이 없으니 남들도 다들 그렇게 사는줄 알고 스스로 만족하며 살아간다.
무엇이 부모복인지 모르겠다. 아무리 받아도 모자라는 정인과 받은 것이 없는데도 만족하는 편인을 보고 있자면 가진 자는 더 가지려 하니 공허함에 만족 못하는 것이고 가지지 못한 자는 자그마한 것에도 감사하니 세상은 그래서 공평한 것이 아닌가 싶기도 하다.",,,,,,
7660500,난 친구랑 남자가 둘다 용신같음 ㅇㅇ,역갤러(211.36),2024-11-12,73.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=7660500&search_pos=-7620386&s_type=search_subject_memo&s_keyword=사주&page=11,"사주에 제대로뜬게 관이랑 비겁밖에 없기도하고 내가 추구하는것도 그쪽이고
인비식도 발달이라 관비겁 균형감있게 유지를 잘하는듯
나도 사람 좋아하는 팔자고 사람이 용신이라 어떻게든 사회적으로 관계를 맺고 살아가야됨",,,,,,
7502969,한소희는 혜리 사주가 지한테 용신인데 너무 삽질했어,ㅇㅇ(175.192),2024-10-18,1037.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=7502969&search_pos=-7460386&s_type=search_subject_memo&s_keyword=사주&page=2,"원래 무토가 화용신이 굉장히 드문데 한소희가 그 드문 무토 화용신이야 너무 춥고 신약해서 혜리는 불덩어리고 얘가 전종서랑 친한 것도 한소희=화토 용신, 전종서=수목용신인데 한소희는 수왕절생 목다자, 전종서는 화왕절생 토다라 서로 끌려서임",,,,,,
6461041,나 돈생겼는데 사주 보는곳 추천좀!!!,역갤러(119.67),2024-05-16,64.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6461041&search_pos=-6430386&s_type=search_subject_memo&s_keyword=사주&page=11,"돈이 좀 생겨서 사주 제대로 보고싶은데
유명하고 잘보는사람 누구 있어?!?!
제발 추천좀
나 사주 여러군데서 보고 돈 많이 버려봄..
좋운사람좀 알려주
- dc official App",,,,,,
11775888,이해찬도 좀이상해서 사주봣는데,ㅇㅇ(211.246),2019-09-27,511.0,2.0,https://gall.dcinside.com/board/view/?id=divination&no=11775888&search_pos=-11745549&s_type=search_subject_memo&s_keyword=사주&page=21,영상보니까 건강 안좋아보였어서 사주봣는데 정사 극신강인데 계축 대운에서 갑인대운으로 바뀌더라,,,,,,
12688522,백순데 사주 맞는거 맞냐,ㅇㅇ(39.7),2020-01-09,67.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=12688522&search_pos=-12655549&s_type=search_subject_memo&s_keyword=사주&page=14,"일해서 한 집안을 먹여살릴 팔자라던데
내 인생에 그런 일은 없을 듯",,,,,,
4485727,둘이 궁합 진심 어때?,ㅇㅇ(118.235),2023-07-01,114.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4485727&search_pos=-4469934&s_type=search_subject_memo&s_keyword=궁합&page=2,"위 남자,아래 여자야 인연 있을까.?
- dc official App",,,,,,
13727086,어릴때부터 꿈이 오로지 부자였던 울 외삼촌 사주- 현재건물주,ㅇㅎㅇ(68.195),2020-05-14,156.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13727086&search_pos=-13685549&s_type=search_subject_memo&s_keyword=사주&page=1,왜때문인거 같아? 사주 공부중,,,,,,
13602893,애들아 대운표를 보여줬는데도 남녀를 모른다는 건,ㅇㅇ(175.192),2020-04-29,168.0,4.0,https://gall.dcinside.com/board/view/?id=divination&no=13602893&search_pos=-13565549&s_type=search_subject_memo&s_keyword=만세력&page=1,"사주 초보도 아니고 걍 사주를 모르는 거임
남자는 양간해에 태어나면 순행
음간해는 역행
여자는 그 반대임
컴퓨터로 만세력 입력하는 거랑 하등 상관 없는거임
그냥 보면 알수 있는 거임
그걸 사주의 신이 지금 모르는 거다
그냥 애들 봐주더라도 구업은 쌓지마라 그 실력으로",,,,,,
5263141,난 현모양처 하기싫은데,ㅇㅇ(118.235),2023-11-18,96.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5263141&search_pos=-5240386&s_type=search_subject_memo&s_keyword=사주&page=16,"사주 어플 통변으로만 봐도
꼭 이 사주는 남편을 잘 되게 만든다 조력한다 현모양처다
세 가지 키워드 꼭 들어감",,,,,,
6982217,가업을 잇는 경우가 엄마 사주 구성하고 아들 사주 구성이 비슷해서,ㅇㅇ(1.233),2024-08-03,50.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6982217&search_pos=-6950386&s_type=search_subject_memo&s_keyword=사주&page=21,"아들이 엄마 한테 배워서
엄마가 일궈놓은걸 물려받고 그걸 불리는거",,,,,,
7455156,내 사주도 봐줘 아주 깔끔행,역갤러(112.153),2024-10-12,112.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=7455156&search_pos=-7420386&s_type=search_subject_memo&s_keyword=사주&page=18,그치?,,,,,,
16194766,박수홍 사주풀이 소름돋네,겆이(211.51),2021-04-04,730.0,10.0,https://gall.dcinside.com/board/view/?id=divination&no=16194766&search_pos=-16145549&s_type=search_subject_memo&s_keyword=사주&page=3,"클럽 죽돌이에
모다멸자인 거까지 맞춰버림",,,,,,
9477332,나 사주쟁이가 최고의 현모양처 사주라던데? ㅋㅋㅋ,역갤러(103.2),2025-08-26,195.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9477332&search_pos=-9420386&s_type=search_subject_memo&s_keyword=사주&page=2,"슈퍼 관인상생에 정인격 무식상이라 머리좋은데 감정은 억누름. 식상없어도 정인써서 애교많다는 소리 들음.
나 자신의 직업도 좋고 집안도 교육자 집안임. T라서 감정 억누름. 히스테리 일절없고 항상 밝음.
5년 사귄 남친에게 성격적 결점이 없다는 소리 들음.
근데 어떻게 알았는지 남편 좀 잘난 사람인 것도 맞음. 친가가 남편 귀찮게 안하게 하려고 모든걸 날 통하게 하고 남편이랑 단절시킴.
대운은 20년간 식상대운으로 흐름....",,,,,,
14857386,근데 공부한다고 여자 못 만나본 남자 드물지 않아???,ㅇㅇ(211.36),2020-10-05,96.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=14857386&search_pos=-14815549&s_type=search_subject_memo&s_keyword=사주&page=4,"난 진짜 예전에 대학 때
친구 축제갔다가 친구 남친들
고려대였는데 술진짜좋아하고 완전 이상했었어
나한테클럽가자고 그러고
그남자 나중에 카톡보니까 현대건설인가 취업했다고
막 여친한테 취업했다고
가방사주고 그러던데
축제 때는 되게 이상했었음;;
지 고려대라 공부잘하니까 그걸 장점으로
우리학교 애 소개해달라는데
막 우리학교 무시했었어
글고 한양대도 두 명 정도는 진짜 공부만 한 남자였는데
나머지는 친구 엄청 많고 그러던데 ㅜ
글고 나 공부 못 한다고 생각해서 좀 그랬어
나보고 편입하라고 한 남자도 있고
엄청 쟀었어;; 내가 화나서 자르니까
나중에 친구한테 아쉽다고 그러고 그랬었는데
5살이나 내가 어렸는데
내가 그남자한테 왜 그런 대접받아야하냐
글고 로스쿨생은 나한테 나 비글이라고 장난치는데
진짜기분나쁘고 애가 이상했었어
얼굴은 멀쩡했는데
또 약대생은 공부만 했겠지 했는데
대학 동기들이랑 술 엄청 마신대서 좀 ㅜㅜ
자기 자유로운 영혼이라고 하고
난 진짜 술 못 마시고 노는 거 싫어하고 성실한데
나랑 비슷한 남자는 어딨을까",,,,,,
11655189,부자면 철학관에 쳐 가면되지 시도때도없이 역갤에,ㅇㅇ(223.62),2019-09-12,24.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=11655189&search_pos=-11625549&s_type=search_subject_memo&s_keyword=사주&page=18,"사주올리네
- dc official App",,,,,,
9474242,포스텔러 사주 캐릭임,역갤러(106.101),2025-08-25,146.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9474242&search_pos=-9420386&s_type=search_subject_memo&s_keyword=사주&page=7,졸귀,,,,,,
9622599,사주는 과학이네,역갤러(118.235),2025-09-20,62.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9622599&search_pos=-9570386&s_type=search_subject_memo&s_keyword=사주&page=10,- dc official App,,,,,,
4247477,난생처음 신점 본 후기.txt,역까(106.101),2023-05-24,337.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4247477&search_pos=-4230386&s_type=search_subject_memo&s_keyword=사주&page=11,"철학관에서 사주는 몇번 본적 있고 유튭 통해서 사주 보는건
취미로 배웠었음
올해 좀 중대한 일을 앞두고 염려되는 마음을 진정 시키기 반+ 호기심
반으로 난생처음 신점 보러감
이게 ㅈㄴ 신기한게 생년월일도 안묻고 딱 내 본관 어머니 본관만 물어보고
방울좀 흔드니까 내과거 집안사정 같은걸 술술 말하는데
열에 아홉개는 맞는말임
제일 놀라웠던건 아버지 쪽 집안 단명집안 인거 맞춤(10남매중 두분 요절 다섯분이 환갑 언저리 돌아가심) 어머니쪽 치성 많이드린 칠성줄 강한 집안인거 맞춤(실제 우리 어머니 할머니때부터 불공 많이 드린집안)
내 생년월일도 안 물어 봤는데 사주에 역마성 강한거 맞춤
그 외에도 소름돋게 디테일한 부분들을 맞춰서 이래서 사람들이 신점 보는구나 하고 이해하게됨
침튜브에서 드립 치는것처럼 무속인들은 뭔 아카식 레코드를
엿볼 수 있는 능력을 가진건지 ㅈㄴ 신기했음",,,,,,
17027345,사주바조,가니(175.201),2021-07-27,57.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=17027345&search_pos=-16975549&s_type=search_subject_memo&s_keyword=사주&page=8,- dc official App,,,,,,
4409698,나두 아이있는데 여기다 아이사주는 못올리겠음,13월(223.38),2023-06-18,31.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4409698&search_pos=-4390386&s_type=search_subject_memo&s_keyword=사주&page=10,그냥 누가본다는게 싫음,,,,,,
6555245,성실하진 않고 게으른데 멱살잡고 끌려가는 사주 봐줭,역갤러(223.39),2024-05-29,56.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6555245&search_pos=-6520386&s_type=search_subject_memo&s_keyword=사주&page=7,"ㅇㅅㅇ울면서 꾸역꾸역 버틤
체력 약해서 겁내 게을러",,,,,,
2814302,야 허경환 사주 보니까 절대 이놈은 안되겠다,ㅇㅇ(115.90),2022-10-11,595.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2814302&search_pos=-2800386&s_type=search_subject_memo&s_keyword=사주&page=4,"얘랑 살면 김지민 개고생함
허경환이라니 끔찍하무니다
일단 월지부터가 안맞음",,,,,,
6672091,난 공부로 성공 못하는 사주임?,ㅇㅇ(223.39),2024-06-15,166.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6672091&search_pos=-6640386&s_type=search_subject_memo&s_keyword=사주&page=16,- dc official App,,,,,,
11452071,나도 어떤게임이든 뭐든 운동선수들 닉네임쓰는데,폴조지,2019-08-22,31.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=11452071&search_pos=-11415549&s_type=search_subject_memo&s_keyword=사주&page=5,"운동선수사주들이 나처럼 충이많아서그른가
- dc official App",,,,,,
6929581,술사나 사이트마다 용신을 다 제각각으로 얘기함,역갤러(125.251),2024-07-25,86.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6929581&search_pos=-6892492&s_type=search_subject_memo&s_keyword=타로&page=1,"난 대체
머가 용신일까..
좋았던 연도가
(기억 나는 때부터)
2001
2002
2006
2009
2011
2022
평타로 그저그렇거나 안좋은 수준
1999
2000
2003
2005
2007~8
2018
최악
2012
2015
2020
2023 (반흉반길?)",,,,,,
12719169,저 컨셉질 샹년은 딱,대국적으로해라(59.22),2020-01-12,30.0,2.0,https://gall.dcinside.com/board/view/?id=divination&no=12719169&search_pos=-12685549&s_type=search_subject_memo&s_keyword=사주&page=14,"족같은 사주만 봐주네 샹년아 그거봐줘봐야
본인 안바껴",,,,,,
5077537,나 외국어 분야 공부할거 같냐? 사주봐줘,역갤러(117.111),2023-10-20,54.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5077537&search_pos=-5050386&s_type=search_subject_memo&s_keyword=사주&page=3,외국에서 일할 생각이였다가 막상 하려고 시도해보니 도전하기 어려워서 안하게 되네,,,,,,
15855679,11 이뇬 완전 정병 아니냐 ㅋㅋ,파라다이스,2021-02-15,44.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=15855679&search_pos=-15815549&s_type=search_subject_memo&s_keyword=사주&page=19,"야 떡밥 문 거 너뿐이야 ㅋㅋ 사주 봐달라고 한글
진지충 처럼 낚싯밥 쳐 문건 ㅋㅋ
내 글 조회해서 봤음 제대로 쳐 보든가 ㅋㅋ
사주갤에 사주글 말고 오만 이야기 다하는 거지
무슨 10썬비 인증이냐
- dc official App",,,,,,
16932269,재다녀 남자한테 돈 뜯기고도 강하게 못나가더라,ㅇㅇ(125.181),2021-07-15,365.0,1.0,https://gall.dcinside.com/board/view/?id=divination&no=16932269&search_pos=-16885549&s_type=search_subject_memo&s_keyword=사주&page=16,"나같음 법적 소송해서라도 받아내는데
멍청하게 본인이 다 갚고 있음
첨 만날때도 딱봐도 양아치스럽더만
재성이 너무 많아서 관성을 생하는데
그 관성이 병신이라 결국 재관으로 힘들어짐
이런거보면 사주 못벗어나나 싶더라",,,,,,
11040023,"박독기님,,,,저도 손글씨 쓰면 사주봐주시나요,,,,,?",윙윙이,2019-07-08,20.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=11040023&search_pos=-11005549&s_type=search_subject_memo&s_keyword=사주&page=7,- dc official App,,,,,,
6497020,이 사주는 차라리 재성이 아예 없는 편이 나았을까,ㅇㅇ(121.66),2024-05-21,115.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6497020&search_pos=-6460386&s_type=search_subject_memo&s_keyword=사주&page=2,"비다에 관 쓰는 사주인데 괜히 어설프게 재 껴있어서 군겁쟁재 되가지고 재물 다 뺏길거라는데., 그래서 식생재나 재생관살도 힘들대 ㅠ",,,,,,
13156774,변학도가 춘향이 사랑해서 옥에 가둘때,드라마광,2020-03-07,535.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13156774&search_pos=-13125549&s_type=search_subject_memo&s_keyword=사주&page=19,"무토인 그녀에게 정화는 사랑을 받는 인성이요,
축토는 겁재이니라.
정축연생인데
무신일주인 그녀에게 정축은
남자가 그녀를 사랑해서
그녀를 옥에 가둔것이 된다.
그녀에게 정관(계묘기둥)인
장원급제한 계수 몽룡이가
(남자의 일간이 계수란 말이 아님.
남자의 특성이 계수같은 성격의 남자라는 말)
그녀를 구하러 옴 ㅡ 암행어사 출동
이 사주는 춘향전과도 비슷하고
드라마 쾌걸춘향 춘향 사주와 가장 가까움.
묘신 원진이니까",,,,,,
10251059,재회운 궁합 잘보는 사람 있어?,현재(2.127),2019-03-18,181.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=10251059&search_pos=-10215549&s_type=search_subject_memo&s_keyword=궁합&page=1,"질문 처음 올려보는데..
사귀다가 헤어졌고 올 해 재회운이 있는지 궁금해.
남 : 1989년 2월 27일 12시 생
여 : 1992년 5월 22일 0시 45분 생
둘 다 오행이 토토야. 큰 산 둘 .
부탁할게.",,,,,,
17244628,사주바주냐??,가니(175.201),2021-08-24,21.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=17244628&search_pos=-17195549&s_type=search_subject_memo&s_keyword=사주&page=15,- dc official App,,,,,,
15878542,운명이란게 진짜 있긴있어,ㅇㅇ(223.62),2021-02-18,142.0,2.0,https://gall.dcinside.com/board/view/?id=divination&no=15878542&search_pos=-15835549&s_type=search_subject_memo&s_keyword=사주&page=14,"ㅋㅋ 나 자미 사주대로 사는거 알면 알수록 신기하고
옛날사람들이 신주단지라고 하면서
아무한테나 생년월일 안알려주는 이유를 알았음",,,,,,
12908361,근데 동성애자가 성격 부드럽고 원만하려면 사주구조가 어캐대야댐?,ㅇㅇ(110.70),2020-02-04,166.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=12908361&search_pos=-12875549&s_type=search_subject_memo&s_keyword=사주&page=17,"다 예민까칠하던데
쏠려잇어야함?",,,,,,
15336642,우리 큰아버지 사주인데 ㅁㅌㅊ,오박사(219.250),2020-12-06,130.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=15336642&search_pos=-15295549&s_type=search_subject_memo&s_keyword=사주&page=7,변호사하셨었음,,,,,,
10497512,사주안믿기로했다 오픈채팅하는데,냥냥(58.78),2019-04-23,186.0,4.0,https://gall.dcinside.com/board/view/?id=divination&no=10497512&search_pos=-10465549&s_type=search_subject_memo&s_keyword=사주&page=10,"사진 공개 시간이였나봄  눈팅만하는데
죄 다 틀딱 + 조꺼치생김
그나마 젊은애들도 뭔가 기괴하게 생김
전처럼 그냥 열심히 계획대로 살랜다.
다 못생겼다고 할순없지만
사주 공부할시간에  차라리 자기관리해
못생긴거 개질색이노 ㄹㅇ 영구탈갤함",,,,,,
16008994,월지 겁재가 불쌍하다고 하는 사람들은,ㅇㅇ(223.33),2021-03-09,673.0,8.0,https://gall.dcinside.com/board/view/?id=divination&no=16008994&search_pos=-15965549&s_type=search_subject_memo&s_keyword=사주&page=16,"그 월지겁재가 자기 능력이 없는거
간략해 말하면 누구나 서울역 노숙자 되는데
월지겁재라서 너는 서울역 노숙자다
이말
월지 겁재라는건 사주에따라 그이상 남보다 수배이상 능력을
펼칠수 있다는것 .",,,,,,
